Apple [ˈæpəl] - Яблоко
flex [flɛks] - гибкость
solid [ˈsɒlɪd] - сплошной
category [ˈkætəɡəri] - категория
ThreadCards [θrɛd kɑrdz] - Карточки тем
threadCards [θrɛd kɑrdz] - карточки тем
runs [rʌnz] - выполняется
rightMenu [raɪt ˈmɛnjuː] - правое меню
CategoryThread [ˈkætəɡəri θrɛd] - Тема категории
lodash [ˈlɒdæʃ] - lodash (библиотека утилит JavaScript)
groupBy [ɡruːp baɪ] - группировать по
TopCategory [tɒp ˈkætəɡəri] - Главная категория
topCategories [tɒp ˈkætəɡəriz] - главные категории
getTopCategories [ɡɛt tɒp ˈkætəɡəriz] - получить главные категории
TopCategoryProps [tɒp ˈkætəɡəri prɒps] - TopCategoryProps (свойства главной категории)
strong [strɒŋ] - сильный
individual [ˌɪndɪˈvɪdʒuəl] - индивидуальный
getTimePastIfLessThanDay [ˌɡɛt taɪm pæst ɪf lɛs ðæn deɪ] - получить время, прошедшее, если меньше дня
ThreadHeader [θrɛd ˈhɛdər] - Заголовок темы
lastModifiedOn [ˈlæst ˈmɒdɪˌfaɪd ɒn] - последнее изменение
ThreadModel [θrɛd ˈmɒdəl] - Модель темы
In [ɪn] - В
renderThread [ˈrɛndər θrɛd] - отобразить тему
select [sɪˈlɛkt] - выбрать
Install [ɪnˈstɔːl] - Установить
ThreadCategoryProps [θrɛd ˈkætəɡəri prɒps] - ThreadCategoryProps (свойства категории тем)
ThreadCategory [θrɛd ˈkætəɡəri] - Категория темы
catOptions [kæt ˈɒpʃənz] - опции категории
DropDown [drɒp daʊn] - Выпадающий список
Title [ˈtaɪtl̩] - Заголовок
ThreadTitle [θrɛd taɪtl̩] - Заголовок темы
onChangeTitle [ɒn ˈʧeɪndʒ ˈtaɪtl̩] - при изменении заголовка
This [ðɪs] - Этот
slate [sleɪt] - плитка
emotion [ɪˈmoʊʃən] - emotion (библиотека для стилизации React компонентов)
editor [ˈɛdɪtər] - редактор
isHotKey [ɪz ˈhɒt ˈkiː] - это горячая клавиша
withHistory [wɪθ ˈhɪsˌtɒri] - с историей
Button [ˈbʌtn] - Кнопка
Toolbar [ˈtʊlbɑːr] - Панель инструментов
RichTextControls [rɪʧ tɛkst kənˈtroʊlz] - RichTextControls (управление форматированным текстом)
HOTKEYS [ˈhɒtˌkiːz] - ГОРЯЧИЕ КЛАВИШИ
initialValue [ɪnɪˈʃəl ˌvaɪˈljuː] - начальное значение
RichEditor [rɪʧ ˈɛdɪtər] - Расширенный редактор
renderElement [ˈrɛndər ˈɛlɪmənt] - отобразить элемент
Element [ˈɛlɪmənt] - Элемент
renderLeaf [ˈrɛndər lif] - отобразить лист
Leaf [lif] - Лист
Slate [sleɪt] - Slate (библиотека для создания редакторов на основе текста)
Editable [ˈɛdɪtəbl̩] - Редактируемый
existingBody [ɪɡˈzɪstɪŋ bɒdi] - существующий текст
onChangeEditorValue [ɒn ˈʧeɪndʒ ˈɛdɪtər ˈvæljuː] - при изменении значения редактора
MarkButton [mɑrk ˈbʌtn] - Кнопка маркера
BlockButton [blɒk ˈbʌtn] - Кнопка блока
isMarkActive [ɪz mɑrk ˈæktɪv] - активен ли маркер
toggleMark [ˈtɒɡəl mɑrk] - переключить маркер
Nodes [noʊdz] - узлы
isBlockActive [ɪz blɒk ˈæktɪv] - активен ли блок
ToggleBlock [ˈtoʊɡəl blɒk] - переключить блок
Leafs [lifs] - листья
ThreadBody [θrɛd ˈbɒdi] - Тело темы
ThreadResponse [θrɛd rɪˈspɒns] - Ответ на тему
UserNameAndTime [ˈjuːzərneɪm ənd taɪm] - Имя пользователя и время
ThreadResponseProps [θrɛd rɪˈspɒns prɒps] - Свойства ответа на тему
ThreadResponsesBuilderProps [θrɛd rɪˈspɒnsɪz ˈbɪldər prɒps] - Свойства создателя ответов на тему
responseElements [rɪˈspɒns ˈɛlɪmənts] - элементы ответа
threadItems [θrɛd ˈaɪtəmz] - элементы темы
ThreadResponses [θrɛd rɪˈspɒnsɪz] - Ответы на тему
TheadResponse [ˈθrɛd rɪˈspɒns] - Ответ на тему
ThreadResponsesBuilder [θrɛd rɪˈspɒnsɪz ˈbɪldər] - Создатель ответов на тему
hr [eɪʧ ɑːr] - горизонтальная черта (HTML тег)
ThreadPointsBarProps [θrɛd pɔɪnts bɑːr prɒps] - Свойства панели очков темы
ThreadPointsBar [θrɛd pɔɪnts bɑːr] - Панель очков темы
auto [ˈɔːtoʊ] - автоматический
createdOn [kriːˈeɪtɪd ɒn] - создано
ThreadPointsInline [θrɛd pɔɪnts ɪnˈlaɪn] - Встроенные очки темы
single [ˈsɪŋɡl̩] - одинокий
SideBarMenu [saɪd bɑːr ˈmɛnjuː] - Меню боковой панели
userProfile [ˈjuːzər proʊˌfaɪl] - профиль пользователя
getUserThreads [ˈɡɛt juːzər θrɛdz] - получить темы пользователя
ThreadId [θrɛd aɪːˈdiː] - Идентификатор темы
PasswordComparison [ˈpæsˌwɜːrd kəmˈpærɪsən] - Сравнение паролей
though [ðoʊ] - хотя
renderUserProfile [ˈrɛndər ˈjuːzərˌproʊˌfaɪl] - отобразить профиль пользователя
Download [daʊnˈloʊd] - Загрузить
make [meɪk] - создать
Applications [ˌæplɪˈkeɪʃənz] - Приложения
ping [pɪŋ] - пинг
shutdown [ˈʃʌtˌdaʊn] - выключение
mkdir [ˈmækdɪr] - создать каталог
nano [ˈnænoʊ] - nano (текстовый редактор)
requirepass [rɪˈkwaɪərˌpæs] - требуется пароль
Ctrl [kɒntrəʊl] - Ctrl (клавиша)
W [ˈdʌbljuː] - W (клавиша)
Configuration [kənˌfɪɡjʊˈreɪʃən] - Конфигурация
loaded [ˈloʊdɪd] - загружено
author [ˈɔːθər] - автор
ioredis [aɪˈoʊˌrɛdɪs] - ioredis (Node.js клиент для Redis)
respawn [riːˈspɔːn] - respawn (перезапуск процесса)
target [ˈtɑːrɡɪt] - цель
SET [sɛt] - SET (команда Redis для установки значения)
ready [ˈrɛdi] - готов
session [ˈsɛʃən] - сессия
connectRedis [kəˈnɛkt ˈriːdɪs] - подключиться к Redis
redis [ˈrɛdɪs] - Redis (ин-memory база данных)
RedisStore [ˈrɛdɪs stɔːr] - хранилище Redis
redisStore [ˈrɛdɪs stɔːr] - хранилище Redis
sameSite [seɪm saɪt] - sameSite (атрибут для куков, определяющий, когда они будут отправляться)
secret [ˈsiːkrɪt] - секрет
cookie [ˈkʊki] - куки (информация, хранящаяся на компьютере пользователя)
httpOnly [ˈhʌtʃˌpoʊnli] - httpOnly (атрибут для куков, разрешающий доступ только через HTTP)
secure [sɪˈkjʊr] - безопасный
pgAdmin [piːˈdʒiː ˈædmɪn] - pgAdmin (административный инструмент для PostgreSQL)
HandsOnFullStackGroup [hændz ɒn fʊl stæk ɡruːp] - Группа HandsOnFullStack
Servers [ˈsɜːrvərz] - Серверы
Server [ˈsɜːrvər] - Сервер
SuperForumServers [ˈsuːpər ˈfɔːrəm ˈsɜːrvərz] - Серверы SuperForum
Connection [kəˈnɛkʃən] - Подключение
localhost [ˈloʊkəlhoʊst] - localhost (имя хоста для локальной машины)
postgres [ˈpoʊstɡrɛs] - PostgreSQL (реляционная база данных)
Save [seɪv] - Сохранить
Create [kriːˈeɪt] - Создать
General [ˈdʒɛnərəl] - Общий
superforumsvc [ˈsuːpərˈfɔːrəmsvc] - superforumsvc (сервис для SuperForum)
Definition [ˌdɛfɪˈnɪʃən] - Определение
Privileges [ˈpraɪvəlɪdʒɪz] - Привилегии
Databases [ˈdeɪtəˌbeɪsɪz] - Базы данных
Database [ˈdeɪtəˌbeɪs] - База данных
SuperForum [ˈsuːpərˈfɔːrəm] - SuperForum
Owner [ˈoʊnər] - Владелец
knows [noʊz] - знает
Users [ˈjuːzərz] - Пользователи
typeorm [taɪp ɔːrm] - TypeORM (Object-Relational Mapping для TypeScript и JavaScript)
pg [piːdʒ] - pg (драйвер PostgreSQL для Node.js)
repo [ˈriːpoʊ] - repo (репозиторий)
Column [ˈkɒləm] - Колонка
Entity [ˈɛntɪti] - Сущность
PrimaryGeneratedColumn [ˈpraɪˌmɛri ˈʤɛnəˌreɪtɪd ˈkɒləm] - Первичный сгенерированный столбец
Length [lɛŋθ] - Длина
Email [ˈiːmeɪl] - Электронная почта
varchar [ˈvɑrʧɑr] - varchar (тип данных для хранения переменной длины)
unique [juːˈniːk] - уникальный
attribute [ˈætrɪˌbjuːt] - атрибут
nullable [ˈnʌləbl̩] - допускающий null
password [ˈpæsˌwɜːrd] - пароль
confirmed [kənˈfɜːrmd] - подтвержденный
isDisabled [ɪz dɪsˈeɪbl̩d] - отключен
createConnection [kriːˈeɪt kəˈnɛkʃən] - создать подключение
Tables [ˈteɪblz] - Таблицы
Id [aɪ diː] - Идентификатор
Refresh [rɪˈfrɛʃ] - Обновить
Threads [θrɛdz] - Темы
OneToMany [wʌn tuː ˈmæni] - Один ко многим (связь между сущностями в базе данных)
ManyToOne [ˈmɛni tuː ˈwʌn] - Многие к одному (связь между сущностями в базе данных)
owning [ˈoʊnɪŋ] - владеющий
threadId [θrɛd aɪd] - идентификатор темы
CREATE TABLE [kriːˈeɪt ˈteɪbl] - CREATE TABLE (SQL команда для создания таблицы)
ThreadPoints [θrɛd pɔɪnts] - Очки темы
ThreadItemPoints [θrɛd ˈaɪtəm pɔɪnts] - Очки элемента темы
ThreadPoint [θrɛd pɔɪnt] - Очко темы
isDecrement [ɪz ˈdiːˌkrɪmənt] - уменьшение
ThreadItemPoint [θrɛd ˈaɪtəm pɔɪnt] - Очко элемента темы
BaseEntity [ˈbeɪs ˈɛntɪti] - Базовая сущность
Auditable [ˈɔːdɪtəbl̩] - Поддающийся аудиту
Getpgusername [ɡɛt piːdʒiː ˈjuːzərneɪm] - Получить имя пользователя pg
time [taɪm] - время
isPasswordValid [ɪz ˈpæsˌwɜːrd ˈvælɪd] - пароль действителен
isEmailValid [ɪz ˈiːmeɪl ˈvælɪd] - электронная почта действительна
enter valid [ˈɛntər ˈvælɪd] - введите действительный
bcrypt [ˈbkrɪpt] - bcrypt (функция хеширования паролей)
saltRounds [sɔlt raʊndz] - количество соли (для хеширования паролей)
UserResult [ˈjuːzər rɪˈzʌlt] - Результат пользователя
messages [ˈmɛsɪʤɪz] - сообщения
register [ˈrɛʤɪstər] - зарегистрировать
min [mɪn] - минимум
upper [ˈʌpər] - верхний
trimmedEmail [trɪmd ˈiːmeɪl] - обрезанная электронная почта
emailErrorMsg [ˈiːmeɪl ˈɛrərˌmɛsɪʤ] - сообщение об ошибке в электронной почте
salt [sɔlt] - соль
hashedPassword [hæʃt ˈpæsˌwɜːrd] - хешированный пароль
userEntity [ˈjuːzər ˈɛntɪti] - сущность пользователя
create blank [kriːˈeɪt blæŋk] - создать пустую
out security [aʊt sɪˈkjʊrəti] - из безопасности
json [ˈʤeɪsən] - JSON (формат обмена данными)
UserRepo [ˈjuːzər ˈriːpoʊ] - Репозиторий пользователя
GET [ɡɛt] - GET (HTTP метод для получения данных)
Send [sɛnd] - Отправить
Cookies [ˈkʊkiz] - Куки
superforum [ˈsuːpərˌfɔːrəm] - SuperForum
Body [ˈbɒdi] - Тело
JSON [ˈʤeɪsən] - JSON (JavaScript Object Notation)
Scripts [skrɪpts] - Скрипты
SELECT Script [sɪˈlɛkt skrɪpt] - SELECT Script (SQL команда для выбора скрипта)
login [ˈlɒɡɪn] - вход
their registration [ðɛr ˌrɛdʒɪsˈtreɪʃən] - их регистрация
passwordMatch [ˈpæsˌwɜːrd mæʧ] - совпадение паролей
userNotFound [ˈjuːzər ˈnɒt ˌfaʊnd] - пользователь не найден
logged [lɔɡd] - вошедший
Remember [rɪˈmɛmbər] - Запомнить
logout [ˈlaʊɡaʊt] - выход
ThreadRepo [θrɛd ˈriːpoʊ] - Репозиторий темы
QueryResult [kwɪri rɪˈzʌlt] - Результат запроса
QueryArrayResult [kwɪri ˈærɪˌreɪ rɪˈzʌlt] - Результат массива запроса
createThread [kriːˈeɪt θrɛd] - создать тему
titleMsg [ˈtaɪtl̩ mɛsɪʤ] - сообщение о заголовке
bodyMsg [ˈbɒdi mɛsɪʤ] - сообщение о теле
ThreadCategories [θrɛd ˈkætəˌɡɔːriz] - Категории тем
insert notice [ɪnˈsɜːrt ˈnoʊtɪs] - вставить уведомление
createthread [ˈkriːeɪtˌθrɛd] - создать тему
getThreadById [ɡɛt θrɛd aɪd] - получить тему по идентификатору
getThreadsByCategoryId [ɡɛt θrɛdz baɪ ˈkætəˌɡɔːri ˈaɪd] - получить темы по идентификатору категории
where leftJoinAndSelect [weər lɛft ʤɔɪn ənd səˈlɛkt] - где объединить слева и выбрать
OrderBy [ˈɔrdər ˈbaɪ] - Сортировать по
getMany threadResult [ɡɛtˈmɛni θrɛd rɪˈzʌlt] - получить много результатов для темы
scalar Date [ˈskelər deɪt] - скалярная дата
EntityResult [ˈɛntɪti rɪˈzʌlt] - Результат сущности
ThreadResult [θrɛd rɪˈzʌlt] - Результат темы
either QueryOneResult [ˈaɪðər kwɪri wʌn rɪˈzʌlt] - либо один результат запроса
ApolloServer error [əˈpɑːloʊ ˈsɜːrvər ˈɛrər] - ошибка сервера Apollo
ThreadArray [θrɛd əˈreɪ] - Массив тем
ThreadArrayResult [θrɛd əˈreɪ rɪˈzʌlt] - Результат массива тем
updateThreadPoint [ʌpˈdeɪt θrɛd pɔɪnt] - обновить очко темы
first check [fɜːrst ʧɛk] - сначала проверьте
authenticated own [ɔːˈθɛntɪˌkeɪtɪd oʊn] - аутентифицированный пользователь
existingPoint decrement [ɪgˈzɪstɪŋ pɔɪnt ˈdiːˌkrɪmənt] - существующее уменьшение очка
like destroy me [laɪk dɪsˈtrɔɪ miː] - как разрушить меня
credentials client [krɪˈdɛnʃəlz ˈklaɪənt] - учетные данные клиента
cache ApolloProvider [kæʃ əˈpɑːloʊ prəˈvaɪdər] - кэш ApolloProvider
useQuery [juːz ˈkwɪri] - использовать запрос
UseQuery [juːz ˈkwɪri] - использовать запрос
GetAllCategories [ˈɡɛt ɔːl ˈkætəˌɡɔːriz] - Получить все категории
deleteMe [dɪˈliːt miː] - удалить меня
categoriesData [ˈkætəˌɡɔːrizˌdeɪtə] - данные о категориях
LogoutMutation [ˈlaʊɡaʊt mjuːˈteɪʃən] - Мутация выхода из системы
changePassword ChangePassword [ʧeɪndʒ ˈpæsˌwɜːrd ʧeɪndʒ ˈpæsˌwɜːrd] - изменить пароль ChangePassword
threadList threa [θrɛd lɪst θrɛə] - список тем threa
threadItemList onClickChangePassword [θrɛd ˈaɪtəm lɪst ˈɔnˌklɪk ʧeɪndʒ ˈpæsˌwɜːrd] - список элементов тем при нажатии изменить пароль
changePasswordData [ʧeɪndʒ ˈpæsˌwɜːrd ˈdeɪtə] - данные об изменении пароля
Change Password [ʧeɪndʒ ˈpæsˌwɜːrd] - Изменить пароль
relations findOne [rɪˈleɪʃənz ˈfɪndˌwʌn] - связи найти одно
RichEditorProps [rɪʧ ˈɛdɪtər prɒps] - Свойства RichEditor
AuthChecker edito [ɔːθ ˈʧɛkər ˈɛdɪtər] - AuthChecker редактор
AdminChecker AuthChecker [ˈædmɪnˈʧɛkər ɔːθ ˈʧɛkər] - AdminChecker AuthChecker
readOnly isReadOnly [ˈrɛdˌoʊnli ɪz ˈriːdˌoʊnli] - только для чтения isReadOnly
isRichEditor isEditor [ɪz ˈrɪʧ ˈɛdɪtər ɪz ˈɛdɪtər] - является редактором isEditor
value RawDraftContentState [ˈvæljuː roʊ dræft ˈkɒntɛnt steɪt] - значение RawDraftContentState
ThreadItemRepo [θrɛd ˈaɪtəm ˈriːpoʊ] - Репозиторий элементов тем
threadItemCreateData [θrɛd ˈaɪtəm kriːˈeɪt ˈdeɪtə] - данные о создании элемента темы
threadItemEditData [θrɛd ˈaɪtəm ˈɛdɪt ˈdeɪtə] - данные об изменении элемента темы
EditThreadItem [ˈɛdɪt ˈθrɛd ˈaɪtəm] - Изменить элемент темы
editThreadItem [ˈɛdɪt θrɛd ˈaɪtəm] - изменить элемент темы
threadItemId [θrɛd ˈaɪtəm ˈaɪd] - идентификатор элемента темы
getThreadItemById [ɡɛt θrɛd ˈaɪtəm aɪd] - получить элемент темы по идентификатору
threadItemRepo [θrɛd ˈaɪtəm ˈriːpoʊ] - репозиторий элементов темы
updateThreadItem update [ʌpˈdeɪt θrɛd ˈaɪtəm ʌpˈdeɪt] - обновить элемент темы обновить
adminEditThreadItem [ˈædmɪnˈɛdɪt ˈθrɛd ˈaɪtəm] - администратор изменить элемент темы
editThreadItemAdmin [ˈɛdɪt θrɛd ˈaɪtəm ˈædmɪn] - изменить элемент темы администратором
editThreadItemAdmin [ˈɛdɪt θrɛd ˈaɪtəm ˈædmɪn] - изменить элемент темы администратором
Render ThreadItemEditor [ˈrɛndər ˈθrɛd ˈaɪtəm ˈɛdɪtər] - Отобразить редактор элементов темы
threadItemEditData [θrɛd ˈaɪtəm ˈɛdɪt ˈdeɪtə] - данные об изменении элемента темы
entities [ˈɛntɪtiz] - сущности
entity [ˈɛntɪti] - сущность
createEntityId [kriːˈeɪt ˈɛntɪti aɪd] - создать идентификатор сущности
setId [sɛt aɪd] - установить идентификатор
findEntityById [faɪnd ˈɛntɪti aɪd] - найти сущность по идентификатору
updateEntity update [ʌpˈdeɪt ˈɛntɪti ʌpˈdeɪt] - обновить сущность обновить
createOrUpdateEntity [kriːˈeɪt ˈɔːrˌʌpˌdeɪt ˈɛntɪti] - создать или обновить сущность
Repository [rɪˈpɒzəˌtɔːri] - Репозиторий
Logic [ˈlɒdʒɪk] - Логика
Common [ˈkɒmən] - Общий
Custom [ˈkʌstəm] - Пользовательский
Implement [ˈɪmpləmənt] - Реализовать
Pagination [ˌpædʒɪˈneɪʃən] - Пагинация
Sorting [ˈsɔːrtɪŋ] - Сортировка
Filtering [ˈfɪltərɪŋ] - Фильтрация
Authorization [ˌɔːθəraɪˈzeɪʃən] - Авторизация
Validation [ˌvælɪˈdeɪʃən] - Валидация
Documentation [ˌdɒkjʊmɛnˈteɪʃən] - Документация
Localization [ˌloʊkəlaɪˈzeɪʃən] - Локализация
Internationalization [ˌɪntərnæʃənəlaɪˈzeɪʃən] - Интернационализация
Accessibility [əkˌsɛsəˈbɪləti] - Доступность
Usability [ˌjuzəˈbɪləti] - Удобство использования
Frontend [ˈfrʌntˌɛnd] - Фронтенд
Backend [ˈbækˌɛnd] - Бэкенд
Full Stack [fʊl stæk] - Full Stack (полный стек)
API (Application Programming Interface) [ˌeɪˌpiːˈaɪ] - Интерфейс прикладного программирования (API)
Framework [ˈfreɪmwɜːrk] - Фреймворк
Library [ˈlɪbrəri] - Библиотека
Dependency [dɪˈpɛndənsi] - Зависимость
Package [ˈpækɪdʒ] - Пакет
Module [ˈmɒdjuːl] - Модуль
Component [kəmˈpoʊnənt] - Компонент
Class [klæs] - Класс
Object [ˈɒbdʒɪkt] - Объект
Method [ˈmɛθəd] - Метод
Function [ˈfʌŋkʃən] - Функция
Variable [ˈvɛriəbl] - Переменная
Constant [ˈkɒnstənt] - Константа
Parameter [pəˈræmɪtər] - Параметр
Argument [ˈɑːrɡjəmənt] - Аргумент
Return [rɪˈtɜːrn] - Возвращаемое значение
Type [taɪp] - Тип
Interface [ˈɪntərfeɪs] - Интерфейс
Class Inheritance [klæs ɪnˈhɛrɪtəns] - Наследование классов
Method Overloading [ˈmɛθəd ˈoʊvərˌloʊdɪŋ] - Перегрузка методов
Method Overriding [ˈmɛθəd ˌoʊvərˈraɪdɪŋ] - Переопределение методов
Polymorphism [ˌpɒlɪˈmɔːrfɪzəm] - Полиморфизм
Encapsulation [ɪnˌkæpsjuːˈleɪʃən] - Инкапсуляция
Abstraction [æbˈstrækʃən] - Абстракция
MVC (Model-View-Controller) [ˌem viː ˈsiː] - MVC (Модель-Представление-Контроллер)
MVVM (Model-View-ViewModel) [ˌem viː viː viː ˈɛl] - MVVM (Модель-Представление-Модель Представления)
CRUD (Create, Read, Update, Delete) [krʌd] - CRUD (Создание, Чтение, Обновление, Удаление)
REST (Representational State Transfer) [rɛst] - REST (Представительная передача состояния)
API Endpoint [ˈeɪˌpiːˈaɪ ˈɛndˌpɔɪnt] - Конечная точка API
Request [rɪˈkwɛst] - Запрос
Response [rɪˈspɒns] - Ответ
Status Code [ˈstætəs koʊd] - Код состояния
Authentication [ɔːθɛntɪˈkeɪʃən] - Аутентификация
Authorization [ˌɔːθəraɪˈzeɪʃən] - Авторизация
Token [ˈtoʊkən] - Токен
JWT (JSON Web Token) [dʒeɪˌdʌbjuːˈtiː] - JWT (JSON Web Token)
OAuth [oʊˈɔːθ] - OAuth
CORS (Cross-Origin Resource Sharing) [kɔːrs] - CORS (Ресурсы с разных источников)
CRUD Operations [krʌd ˌɒpəˈreɪʃənz] - Операции CRUD
Schema [ˈskiːmə] - Схема
Migration [maɪˈɡreɪʃən] - Миграция
Seeding [ˈsiːdɪŋ] - Наполнение данными
Deployment [dɪˈplɔɪmənt] - Развертывание
Continuous Integration (CI) [kənˈtɪnjuəs ˌɪntɪˈɡreɪʃən] - Непрерывная интеграция (CI)
Continuous Delivery (CD) [kənˈtɪnjuəs dɪˈlɪvəri] - Непрерывная доставка (CD)
Continuous Deployment [kənˈtɪnjuəs dɪˈplɔɪmənt] - Непрерывное развертывание
DevOps [ˌdiːvˈɒps] - DevOps
Agile [ˈædʒaɪl] - Гибкие методы разработки (Agile)
Scrum [skrʌm] - Scrum
Kanban [ˈkɑːnbæn] - Канбан
User Story [ˈjuːzər ˈstɔːri] - Пользовательская история
Sprint [sprɪnt] - Спринт
Backlog [ˈbækˌlɔːɡ] - Бэклог
Epic [ˈɛpɪk] - Эпик
Task [tæsk] - Задача
Burn-down Chart [bɜːrn-daʊn tʃɑːrt] - Диаграмма остаточных задач
Code Review [koʊd rɪˈvjuː] - Рецензирование кода
Pair Programming [pɛr ˈproʊɡræmɪŋ] - Парное программирование
Version Control [ˈvɜːrʒən kənˈtroʊl] - Система контроля версий
Git [ɡɪt] - Git
Repository [rɪˈpɒzəˌtɔːri] - Репозиторий
Branch [bræntʃ] - Ветвь (бранч)
Merge [mɜːrdʒ] - Слияние (merge)
Pull Request [pʊl rɪˈkwɛst] - Запрос на включение (pull request)
Fork [fɔːrk] - Форк
Commit [ˈkɒmɪt] - Коммит
Continuous Monitoring [kənˈtɪnjuəs ˈmɒnɪtərɪŋ] - Непрерывное мониторинг
Bug [bʌɡ] - Ошибка (баг)
Debugging [ˈdiːˌbʌɡɪŋ] - Отладка
Logging [ˈlɒɡɪŋ] - Логирование
Profiling [ˈproʊfaɪlɪŋ] - Профилирование
Refactoring [ˌriːˈfæktərɪŋ] - Рефакторинг
Code Smell [koʊd smɛl] - "Запах кода" (Code Smell)
Scalability [ˌskeɪləˈbɪləti] - Масштабируемость
Performance [pərˈfɔːrməns] - Производительность
Security [sɪˈkjʊrəti] - Безопасность
Dependency Injection [dɪˈpɛndənsi ɪnˈʤɛkʃən] - Внедрение зависимости
Inversion of Control (IoC) [ɪnˈvɜːrʒən əv kənˈtroʊl] - Инверсия управления (IoC)
Design Patterns [dɪˈzaɪn ˈpætərnz] - Паттерны проектирования
Creational Patterns [kriːˈeɪʃənl ˈpætərnz] - Порождающие паттерны
Structural Patterns [ˈstrʌkʧərəl ˈpætərnz] - Структурные паттерны
Behavioral Patterns [bɪˈheɪvjərəl ˈpætərnz] - Поведенческие паттерны
Clean Code [klin koʊd] - Чистый код
SOLID Principles [ˈsɒlɪd ˈprɪnsəplz] - Принципы SOLID
DRY (Don't Repeat Yourself) [draɪ] - Принцип DRY (не повторяйся)
KISS (Keep It Simple, Stupid) [kɪs] - Принцип KISS (делайте всё максимально просто)
YAGNI (You Ain't Gonna Need It) [ˈjæɡni] - Принцип YAGNI (Вам это не понадобится)
TDD (Test-Driven Development) [tiː diː diː] - TDD (Разработка через тестирование)
BDD (Behavior-Driven Development) [biː diː diː] - BDD (Разработка через поведение)
Code Review [koʊd rɪˈvjuː] - Рецензирование кода
Pair Programming [pɛr ˈproʊɡræmɪŋ] - Парное программирование
Documentation [ˌdɒkjʊmɛnˈteɪʃən] - Документация
Tech Debt (Technical Debt) [tɛk dɛt] - Технический долг (Tech Debt)
Integration Testing [ˌɪntɪˈɡreɪʃən ˈtɛstɪŋ] - Интеграционное тестирование
Unit Testing [ˈjuːnɪt ˈtɛstɪŋ] - Модульное тестирование
Functional Testing [ˈfʌŋkʃənl ˈtɛstɪŋ] - Функциональное тестирование
Regression Testing [rɪˈɡrɛʃən ˈtɛstɪŋ] - Регрессионное тестирование
User Acceptance Testing (UAT) [ˈjuːzər ˌækˈsɛptəns ˈtɛstɪŋ] - Приемочное тестирование пользователя (UAT)
Load Testing [loʊd ˈtɛstɪŋ] - Тестирование нагрузки
Stress Testing [strɛs ˈtɛstɪŋ] - Тестирование стресса
Performance Testing [pərˈfɔːrməns ˈtɛstɪŋ] - Тестирование производительности
Automation Testing [ˌɔːtəˈmeɪʃən ˈtɛstɪŋ] - Автоматизированное тестирование
Test Case [tɛst keɪs] - Тестовый случай (тест-кейс)
Test Plan [tɛst plæn] - План тестирования
Test Suite [tɛst swiːt] - Набор тестов (тест-набор)
Test Data [tɛst ˈdeɪtə] - Тестовые данные
Test Coverage [tɛst ˈkʌvərɪdʒ] - Покрытие тестами
Test Report [tɛst rɪˈpɔːrt] - Отчет о тестировании
Test Driven Development (TDD) [tɛst ˈdrɪvən dɪˈvɛləpmənt] - Разработка через тестирование (TDD)
Behavior Driven Development (BDD) [bɪˈheɪvjər ˈdrɪvən dɪˈvɛləpmənt] - Разработка через поведение (BDD)
Mock [mɒk] - Мок (заглушка)
Stub [stʌb] - Стаб (заглушка)
Spy [spaɪ] - Шпион (тестовый двойник)
Code Smell [koʊd smɛl] - "Запах кода" (Code Smell)
Refactoring [ˌriːˈfæktərɪŋ] - Рефакторинг
Continuous Deployment [kənˈtɪnjuəs dɪˈplɔɪmənt] - Непрерывное развертывание
Continuous Monitoring [kənˈtɪnjuəs ˈmɒnɪtərɪŋ] - Непрерывное мониторинг
Agile [ˈædʒaɪl] - Гибкие методы разработки (Agile)
Scrum [skrʌm] - Scrum
Kanban [ˈkɑːnbæn] - Канбан
Pair Programming [pɛr ˈproʊɡræmɪŋ] - Парное программирование
Version Control [ˈvɜːrʒən kənˈtroʊl] - Система контроля версий
Git [ɡɪt] - Git
Repository [rɪˈpɒzəˌtɔːri] - Репозиторий
Branch [bræntʃ] - Ветвь (бранч)
Merge [mɜːrdʒ] - Слияние (merge)
Pull Request [pʊl rɪˈkwɛst] - Запрос на включение (pull request)
Fork [fɔːrk] - Форк
Commit [ˈkɒmɪt] - Коммит
Continuous Integration (CI) [kənˈtɪnjuəs ˌɪntɪˈɡreɪʃən] - Непрерывная интеграция (CI)
Continuous Delivery (CD) [kənˈtɪnjuəs dɪˈlɪvəri] - Непрерывная доставка (CD)
DevOps [ˌdiːvˈɒps] - DevOps
Security [sɪˈkjʊrəti] - Безопасность
Dependency Injection [dɪˈpɛndənsi ɪnˈʤɛkʃən] - Внедрение зависимости
Inversion of Control (IoC) [ɪnˈvɜːrʒən əv kənˈtroʊl] - Инверсия управления (IoC)
Clean Code [klin koʊd] - Чистый код
SOLID Principles [ˈsɒlɪd ˈprɪnsəplz] - Принципы SOLID
DRY (Don't Repeat Yourself) [draɪ] - Принцип DRY (не повторяйся)
YAGNI (You Ain't Gonna Need It) [ˈjæɡni] - Принцип YAGNI (Тебе это не понадобится)
KISS (Keep It Simple, Stupid) [kɪs] - Принцип KISS (Делай это просто, дурак)
TDD (Test Driven Development) [ˈtiːdiːˈdiː] - Разработка через тестирование (TDD)
BDD (Behavior Driven Development) [biːdiːˈdiː] - Разработка через поведение (BDD)
